ID	H01.metaphlan2.profile	H02.metaphlan2.profile	H03.metaphlan2.profile	H04.metaphlan2.profile	H05.metaphlan2.profile	H06.metaphlan2.profile	H07.metaphlan2.profile	H08.metaphlan2.profile	H09.metaphlan2.profile	H10.metaphlan2.profile	H11.metaphlan2.profile	H12.metaphlan2.profile	H13.metaphlan2.profile	P01.metaphlan2.profile	P02.metaphlan2.profile	P03.metaphlan2.profile	P04.metaphlan2.profile	P05.metaphlan2.profile	P06.metaphlan2.profile	P07.metaphlan2.profile	P08.metaphlan2.profile	P09.metaphlan2.profile	P10.metaphlan2.profile	P11.metaphlan2.profile	P12.metaphlan2.profile	P13.metaphlan2.profile	P14.metaphlan2.profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	18.66501	21.05653	23.74293	27.61532	38.86068	22.54666	42.49282	22.30606	35.4483	48.19366	36.07039	18.89097	30.51064	22.7499	16.15724	13.07935	30.75869	16.10055	17.86297	8.41546	8.28038	9.76492	7.79968	27.03068	19.38229	32.01862	21.14198
k__Bacteria|p__Actinobacteria|c__Actinobacteria	18.66501	21.05653	23.74293	27.61532	38.86068	22.54666	42.49282	22.30606	35.4483	48.19366	36.07039	18.89097	30.51064	22.7499	16.15724	13.07935	30.75869	16.10055	17.86297	8.41546	8.28038	9.76492	7.79968	27.03068	19.38229	32.01862	21.14198
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	15.40456	19.71646	23.40764	27.40198	38.69067	19.50803	37.88647	22.13995	34.753	48.05185	35.19487	18.83617	27.96843	18.00042	7.72843	9.41456	30.66932	16.04546	17.39109	8.03862	6.35966	9.25473	7.46932	26.70199	17.24068	31.85122	20.97418
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	1.75588	1.10446	0.04429	0.29879	1.23964	1.69838	5.48892	2.18858	2.58672	1.10195	3.4452	1.6111	1.60271	6.41045	1.61012	3.93543	2.45633	0.87188	0.39785	0.8409	0.23066	0.75794	0.7709	1.09994	1.28888	1.91248	0.45653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	1.75588	1.10446	0.04429	0.29879	1.23964	1.69838	5.48892	2.18858	2.58672	1.10195	3.4452	1.6111	1.60271	6.41045	1.61012	3.93543	2.45633	0.87188	0.39785	0.8409	0.23066	0.75794	0.7709	1.09994	1.28888	1.91248	0.45653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43434	0.0	0.0	0.15454	0.0	0.0	0.0	0.0	0.07082	0.26127
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis|t__GCF_000364865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43434	0.0	0.0	0.15454	0.0	0.0	0.0	0.0	0.07082	0.26127
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
